Lp.;Nazwa Muzeum;Kod pocztowy;Miejscowość;Gmina;Powiat;Województwo;ul./Aleja/Plac/;Ulica;Numer domu;Numer lokalu;Kod pocztowy (adres pocztowy jeśli nie występuje w komórkach C1-G1);Miejscość (adres dodatkowy );ul./Aleja/Plac (adres dodatkowy);Ulica i numer domu (adres dodatkowy);Numer domu (adres dodatkowy;Numer lokalu (adres dodatkowy);Nazwa Organizatora/ Założyciela;Nazwa Organizatora I/ Założyciela;Nazwa Organizatora II/ Założyciela;Nazwa Organizatora III/ Założyciela;Data wpisu do Państwowego Rejestru Muzeów (dotyczy Muzeum wpisanego do Państwowego Rejestru Muzeów);Status muzeum;Data wykreślenia z rejestru;zakończenie procesu organizacji
115;Muzeum Miejskie w Tychach;43-100;Tychy;Tychy;m. Tychy;ŚLĄSKIE;ul.;Katowicka;9;;;;;;;;Miasto Tychy;;;;;Samorządowe;;
116;Muzeum Miejskie w Zabrzu;41-800;Zabrze;Zabrze;m. Zabrze;ŚLĄSKIE;ul.;3 Maja ;91;;;;;;;;Miasto Zabrze;;;;;Samorządowe;;
117;Muzeum Miejskie w Żorach;44-240;Żory;Żory;m. Żory;ŚLĄSKIE;ul.;Muzealna;1;2;;;;;;;Gmina Miejska Żory;;;;;Samorządowe;;
118;Muzeum Miejskie w Żywcu;34-300;Żywiec;Żywiec;żywiecki;ŚLĄSKIE;ul.;Zamkowa;2;;;;;;;;Miasto Żywiec ;;;;;Samorządowe;;
119;"Muzeum Miejskie ""Dom Gerharta Hauptmanna"" w Jeleniej Górze";58-570;Jelenia Góra;Jelenia Góra;m. Jelenia Góra;DOLNOŚLĄSKIE;ul.;Michałowicka;32;;;;;;;;Miasto Jelenia Góra;;;;;Samorządowe;;
120;"Muzeum Miejskie ""Sztygarka"" w Dąbrowie Górniczej";41-300;Dąbrowa Górnicza;Dąbrowa Górnicza;m. Dąbrowa Górnicza;ŚLĄSKIE;ul.;Legionów Polskich;69;;;;;;;;Miasto Dąbrowa Górnicza;;;;;Samorządowe;;
121;Muzeum Miejskie im. Maksymiliana Chroboka w Rudzie Śląskiej;41-700;Ruda Śląska;Ruda Śląska;m. Ruda Śląska;ŚLĄSKIE;ul.;Wolności;26;;;;;;;;Miasto Ruda Śląska;;;;;Samorządowe;;
122;Muzeum Miejskie Wrocławia;50-107;Wrocław;Wrocław (Wrocław-Stare Miasto);m. Wrocław;DOLNOŚLĄSKIE;ul.;Sukiennice;14;15;;;;;;;Gmina Wrocław;;;;;Samorządowe;;
123;Muzeum Mikołaja Kopernika we Fromborku;14-530;Frombork;Frombork;braniewski;WARMIŃSKO-MAZURSKIE;ul.;Katedralna;8;;;;;;;;Województwo Warmińsko – Mazurskie ;;;;2009-12-30;Samorządowe;;
124;Muzeum - Nadwiślański Park Etnograficzny w Wygiełzowie i Zamek Lipowiec;32-551;Babice Wygiełzów;Babice;chrzanowski;MAŁOPOLSKIE;ul.;Podzamcze;1;;;;;;;;Województwo Małopolskie; Gmina Chrzanów ;;;2011-01-31;Samorządowe;;
125;Muzeum Nadwiślańskie w Kazimierzu Dolnym;24-120;Kazimierz Dolny;Kazimierz Dolny;puławski;LUBELSKIE;ul.;Rynek;19;;;;;;;;Województwo Lubelskie; Miasto Puławy;;;1998-12-28;Samorządowe;;
126;Muzeum Narodowe Rolnictwa i Przemysłu Rolno-Spożywczego w Szreniawie;62-052;Komorniki;Walerianowo;poznański;WIELKOPOLSKIE;ul.;Dworcowa;5;;;;;;;;Województwo Wielkopolskie; Minister Rolnictwa i Rozwoju Wsi;;;1998-12-28;Samorządowe;;
127;Muzeum Niepodległości w Warszawie;00-240;Warszawa;Warszawa (Śródmieście);m. st. Warszawa;MAZOWIECKIE;al.;Solidarności;62;;;;;;;;Województwo Mazowieckie;;;;1998-05-18;Samorządowe;;
128;Muzeum Niepołomickie w Niepołomicach;32-005;Niepołomice;Niepołomice;wielicki;MAŁOPOLSKIE;ul.;Zamkowa;2;;;;;;;;Gmina Niepołomice;;;;;Samorządowe;;
129;Muzeum Obozów Jenieckich w Żaganiu ;68-100;Żagań;Brzeźnica;żagański;LUBUSKIE;ul.;Lotników Alianckich;6;;;;;;;;Miasto Żagań;;;;;Samorządowe;;
130;Muzeum Okręgowe im. Leona Wyczółkowskiego w Bydgoszczy;85-006;Bydgoszcz;Bydgoszcz;m. Bydgoszcz;KUJAWSKO-POMORSKIE;ul.;Gdańska;4;;;;;;;;Miasto Bydgoszcz;;;;2009-12-30;Samorządowe;;
131;Muzeum Okręgowe im. Stanisława Staszica w Pile;64-920;Piła;Piła;pilski;WIELKOPOLSKIE;ul.;Browarna;7;;;;;;;;Województwo Wielkopolskie;;;;1998-12-28;Samorządowe;;
132;Muzeum Okręgowe w Koninie;62-505;Konin;Konin;m. Konin;WIELKOPOLSKIE;ul.;Muzealna;5;;;;;;;;Województwo Wielkopolskie;;;;;Samorządowe;;
133;Muzeum Okręgowe w Lesznie;64-100;Leszno;Leszno;m. Leszno;WIELKOPOLSKIE;pl.;Jana Metziga;17;;;;;;;;Województwo Wielkopolskie;;;;2008-12-30;Samorządowe;;
134;Muzeum Okręgowe w Nowym Sączu;33-300;Nowy Sącz;Nowy Sącz;m. Nowy Sącz;MAŁOPOLSKIE;ul.;Jagiellońska;56;;;;;;;;Województwo Małopolskie;;;;2006-07-07;Samorządowe;;
135;Muzeum Okręgowe w Rzeszowie;35-030;Rzeszów;Rzeszów;m. Rzeszów;PODKARPACKIE;ul.;3 Maja ;19;;;;;;;;Województwo Podkarpackie ;;;;1998-05-18;Samorządowe;;
136;Muzeum Okręgowe w Sieradzu;98-200;Sieradz;Sieradz;sieradzki;ŁÓDZKIE;ul.;Dominikańska;2;;;;;;;;Powiat Sieradzki ;;;;;Samorządowe;;
137;Muzeum Okręgowe w Suwałkach;16-400;Suwałki;Suwałki;m. Suwałki;PODLASKIE;ul.;T. Kościuszki;81;;;;;;;;Miasto Suwałki;;;;2014-02-12;Samorządowe;;
138;Muzeum Okręgowe w Tarnowie;33-100;Tarnów;Tarnów;m. Tarnów;MAŁOPOLSKIE;ul.;Rynek;3;;;;;;;;Województwo Małopolskie;;;;2002-11-28;Samorządowe;;
139;Muzeum Okręgowe w Toruniu;87-100;Toruń;Toruń;m. Toruń;KUJAWSKO-POMORSKIE;ul.;Rynek Staromiejski;1;;;;;;;;Gmina Miasta Toruń;;;;1998-12-28;Samorządowe;;
140;Muzeum Okręgowe Ziemi Kaliskiej w Kaliszu;62-800;Kalisz;Kalisz;kaliski;WIELKOPOLSKIE;ul.;T. Kościuszki;12;;;;;;;;Województwo Wielkopolskie;;;;1998-12-28;Samorządowe;;
141;Muzeum - Orawski Park Etnograficzny w Zubrzycy Górnej;34-484;Zubrzyca Górna;Zubrzyca Górna;nowotarski;MAŁOPOLSKIE;;Zubrzyca Górna;388;;;;;;;;Województwo Małopolskie;;;;2011-01-31;Samorządowe;;
142;Muzeum Oręża Polskiego w Kołobrzegu;78-100;Kołobrzeg;Kołobrzeg;kołobrzeski;ZACHODNIOPOMORSKIE;ul.;Armii Krajowej;13;;;;;;;;Powiat Kołobrzeski;;;;1998-05-18;Samorządowe;;
143;Muzeum Pamięci Narodowej i Sztuki Ludowej w Ochotnicy Górnej (w organizacji);34-453;Ochotnica Dolna;Ochotnica Dolna;nowotarski;MAŁOPOLSKIE;oś. ;Zawady;205 B;;;;;;;;Gmina Ochotnica Dolna ;;;;;Samorządowe;;
144;Muzeum Pamiątek 1. Armii Wojska Polskiego oraz Dziejów Ziemi Mieszkowickiej w Mieszkowicach;74-505;Mieszkowice;Mieszkowice;gryfiński;ZACHODNIOPOMORSKIE;ul.;Chopina;1;;;;;;;;Gmina Mieszkowice;;;;;Samorządowe;;
145;Muzeum Pamięci Sybiru ;15-092;Białystok;Białystok;m. Białystok;PODLASKIE;ul. ;H. Sienkiewicza;26;;;;;;;;Miasto Białystok ;;;;;Samorządowe;;
146;Muzeum Papiernictwa w Dusznikach Zdroju;57-340;Duszniki Zdrój;Duszniki-Zdrój;kłodzki;DOLNOŚLĄSKIE;ul.;Kłodzka;42;;;;;;;;Województwo Dolnośląskie;;;;2013-06-28;Samorządowe;;
147;Muzeum Piaseczna w Piasecznie (w organizacji);;;;;;;;;;;;;;;;Gmina Piaseczno;;;;;Samorządowe;;
148;Muzeum Pierwszych Piastów na Lednicy;62-261;Lednogóra;Imielenko;gnieźnieński;WIELKOPOLSKIE;ul.;Dziekanowice;32;;;;;;;; Województwo Wielkopolskie;;;;1999-12-28;Samorządowe;;
149;Muzeum Piśmiennictwa i Muzyki Kaszubsko-Pomorskiej w Wejherowie;84-200;Wejherowo;Bożepole Wielkie;wejherowski;POMORSKIE;ul.;Zamkowa;2a;;;;;;;;Powiat Wejherowski;Województwo Pomorskie;;;2006-07-07;Samorządowe;;
150;Muzeum Początków Państwa Polskiego w Gnieźnie;62-200;Gniezno;Gniezno;gnieźnieński;WIELKOPOLSKIE;ul.;Kostrzewskiego;1;;;;;;;;Województwo Wielkopolskie;;;;1998-07-06;Samorządowe;;
151;Muzeum Poczty i Telekomunikacji we Wrocławiu;50-954;Wrocław;Wrocław;wrocławki;DOLNOŚLĄSKIE;ul.;Z. Krasińskiego;1;;;;;;;;Województwo Dolnośląskie;;;;;Samorządowe;;
152;Muzeum Podkarpackie w Krośnie;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Piłsudskiego;16;;;;;;;;Województwo Podkarpackie ;;;;2003-12-18;Samorządowe;;
153;Muzeum Pogranicza Śląsko – Łużyckiego w Żarach ;68-200;Żary;Żary;żarski;LUBUSKIE;pl.;Kardynała Stefana Wyszyńskiego;2;;;;;;;;Gmina Żary o statusie miejskim;;;;;Samorządowe;;
154;Muzeum Pojezierza Łęczyńsko-Włodawskiego we Włodawie;22-200;Włodawa;Włodawa;włodawski;LUBELSKIE;ul.;Czerwonego Krzyża;7;;;;;;;;Powiat Włodawski;;;;;Samorządowe;;
155;Muzeum Pojezierza Myśliborskiego w Myśliborzu;74-300;Myślibórz;Myślibórz;myśliborski;ZACHODNIOPOMORSKIE;ul.;Bohaterów Warszawy;74;;;;;;;;Gmina Myślibórz ;;;;;Samorządowe;;
156;Muzeum Polskiej Piosenki w Opolu ;45–040;Opole;Opole;m. Opole;OPOLSKIE;pl.;Mikołaja Kopernika;1;;;;;;;;Miasto Opole;;;;;Samorządowe;;
157;Muzeum Południowego Podlasia w Białej Podlaskiej;21-500;Biała Podlaska;Hrud;bialski;LUBELSKIE;ul.;Warszawska;12;;;;;;;;Gmina Miejska Biała Podlaska ;;;;1998-12-28;Samorządowe;;
158;Muzeum Pomorza Środkowego w Słupsku;76-200;Słupsk;Słupsk;m. Słupsk;POMORSKIE;ul.;Dominikańska;5;-9;;;;;;;Województwo Pomorskie ;;;;1998-07-06;Samorządowe;;
159;Muzeum Powstania Warszawskiego;00-844;Warszawa;Warszawa (Wola);m. st. Warszawa;MAZOWIECKIE;ul.;Grzybowska;79;;;;;;;;Miasto Stołeczne Warszawa;;;;2005-09-21;Samorządowe;;
160;Muzeum Powstańców Wielkopolskich im. Generała Józefa Dowbora Muśnickiego w Lusowie (w organizacji);62-080;Lusowo;Tarnowo Podgórne;poznański;WIELKOPOLSKIE;ul.;Ogrodowa;3a;;;;;;;;Gmina Tarnowo Podgórne;;;;;Samorządowe;;
161;Muzeum Powstań Śląskich w Świętochłowicach ;41-600;Świętochłowice;Świętochłowice;m. Świętochłowice;ŚLĄSKIE;ul.;Szpitalna;2;;;;;;;;Gmina Świętochłowice ;;;;;Samorządowe;;
162;Muzeum Pożarnictwa w Cześnikach;22-424;Sitno;Sitno;Zamojski;LUBELSKIE;;Sitno;73;;;;;;;;Gmina Sitno;;;;;Samorządowe;;
163;Muzeum Pożarnictwa w Oseredku ;22-672 ;Susiec;Susiec;tomaszowski;LUBELSKIE;;Oseredek;123;;;;;;;;Gmina Susiec;;;;;Samorządowe;;
164;Muzeum Północno – Mazowieckie w Łomży;18-400;Łomża;Łomża;m. Łomża;PODLASKIE;ul.;Dworna;22C;;;;;;;;Miasto Łomża ;;;;2011-07-15;Samorządowe;;
165;Muzeum Przyrodnicze w Jeleniej Górze;58-560;Jelenia Góra;Wojcieszyce;jeleniogórski;DOLNOŚLĄSKIE;ul.;Cieplicka;11A;;;;;;;;Miasto Jelenia Góra ;;;;;Samorządowe;;
166;Muzeum Przyrody – Dwór Lutosławskich w Drozdowie;18-421;Piątnica;Drozdowo;łomżyński;PODLASKIE;ul.;Główna;38;;;;;;;;Powiat Łomżyński ;;;;;Samorządowe;;
167;Muzeum Przyrody i Techniki Ekomuzeum im. Jana Pazdura w Starachowicach;27-200;Starachowice;Starachowice;starachowicki;ŚWIĘTOKRZYSKIE;ul.;Wielkopiecowa;1;;;;;;;;Powiat Starachowicki ;;;;;Samorządowe;;
168;Muzeum Puszczy Drawskiej i Noteckiej im. Franciszka Grasia w Drezdenku;66-530;Drezdenko;Drezdenko;strzelecko-drezdenecki;LUBUSKIE;pl.;Wolności;11;;;;;;;;Gmina Drezdenko ;;;;;Samorządowe;;
169;Muzeum Regionalne im. Adama Fastnachta w Brzozowie;36-200;Brzozów;Brzozów;brzozowski;PODKARPACKIE;ul.;Rynek;10;;;;;;;;Gmina Brzozów;;;;;Samorządowe;;
170;Muzeum Regionalne im. dr. Henryka Florkowskiego w Kościanie;64-000;Kościan;Kościan;kościański;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Gmina Miejska Kościan;;;;;Samorządowe;;
171;Muzeum Regionalne im. dr. Janusza Petera w Tomaszowie Lubelskim;22-600;Tomaszów Lubelski;Tomaszów Lubelski;tomaszowski;LUBELSKIE;ul.;Zamojska;2;;;;;;;;Powiat Tomaszowski (Tomaszów Lubelski);;;;;Samorządowe;;
172;Muzeum Regionalne im. Dzieci Wrzesińskich we Wrześni ;62-300;Września;Września;wrzesiński;WIELKOPOLSKIE;ul.;Dzieci Wrzesińskich;13;;;;;;;;Miasto i Gmina Września;;;;;Samorządowe;;
173;Muzeum Regionalne im. Hieronima Ławniczaka w Krotoszynie;63-700;Krotoszyn;Krotoszyn;krotoszyński;WIELKOPOLSKIE;ul.;Mały Rynek;1;;;;;;;;Miasto i Gmina Krotoszyn;;;;;Samorządowe;;
174;Muzeum Regionalne im. prof. Tomasza Mikockiego w Kozienicach;26-900;Kozienice;Kozienice;kozienicki;MAZOWIECKIE;ul.;Parkowa;5B;;;;;;;;Gmina Kozienice;;;;;Samorządowe;;
175;Muzeum Regionalne im. Stanisława Sankowskiego w Radomsku ;97-500;Radomsko;Radomsko;radomszczański;ŁÓDZKIE;ul.;Narutowicza;1;;;;;;;;Miasto Radomsko ;;;;;Samorządowe;;
176;Muzeum Regionalne im. Walentyny Dermackiej z Sapiehów w Pieckach (w organizacji);11-710;Piecki;Piecki;mrągowski;WARMIŃSKO-MAZURSKIE;ul.;Zwycięstwa;48;;;;;;;;Gmina Piecki;;;;;Samorządowe;;
177;Muzeum Regionalne im. Wł. St. Reymonta w Lipcach Reymontowskich;96-127;Lipce Reymontowskie;Lipce Reymontowskie;skierniewicki;ŁÓDZKIE;ul.;Wiatraczna;10;;;;;;;;Powiat Skierniewicki;;;;;Samorządowe;;
178;Muzeum Regionalne im. Zygmunta Krasińskiego w Złotym Potoku;42-253;Złoty Potok (poczta Janów);Janów;częstochowski;ŚLĄSKIE;ul.;Tadeusza Kościuszki;11;;;;;;;;Gmina Janów;;;;;Samorządowe;;
179;Muzeum Regionalne w Bełchatowie;97-400;Bełchatów;Bełchatów;bełchatowski;ŁÓDZKIE;ul.;Rodziny Hellwigów;11;;;;;;;;Miasto Bełchatów;;;;;Samorządowe;;
180;Muzeum Regionalne w Brzezinach;95-060;Brzeziny;Brzeziny;brzeziński;ŁÓDZKIE;ul.;Piłsudskiego;49;;;;;;;;Gmina Miasto Brzeziny;;;;;Samorządowe;;
181;Muzeum Regionalne w Cedyni (w organizacji);74-520;Cedynia;Cedynia;gryfiński;ZACHODNIOPOMORSKIE;pl.;Wolności;4;;;;;;;;Gmina Cedynia;;;;;Samorządowe;;
182;Muzeum Regionalne w Chojnowie;59-225;Chojnów;Chojnów;legnicki;DOLNOŚLĄSKIE;pl.;Zamkowy;3;;;;;;;;Miasto Chojnów;;;;;Samorządowe;;
183;Muzeum Regionalne w Człuchowie;77-300;Człuchów;Człuchów;człuchowski;POMORSKIE;al.;Wojska Polskiego;3;;;;;;;;Gmina Miejska Człuchów;;;;;Samorządowe;;
184;Muzeum Regionalne w Dębicy;39-200;Dębica;Dębica;dębicki;PODKARPACKIE;ul.;Ratuszowa;4;;;;;;;;Gmina Miasta Dębica;;;;;Samorządowe;;
185;Muzeum Regionalne w Gniewkowie;88-140;Gniewkowo;Gniewkowo;inowrocławski;KUJAWSKO-POMORSKIE;ul.;Podgórna;2;;;;;;;;Gmina Gniewkowo;;;;;Samorządowe;;
186;Muzeum Regionalne w Janowie Lubelskim;23-300;Janów Lubelski;Janów Lubelski;janowski;LUBELSKIE;ul.;Ogrodowa;3a;;;;;;;;Gmina Janów Lubelski;;;;;Samorządowe;;
187;Muzeum Regionalne w Jaśle;38-200;Jasło;Jasło;jasielski;PODKARPACKIE;ul.;Stanisława Kadyiego;11;;;;;;;;Miasto Jasło;;;;;Samorządowe;;
188;Muzeum Regionalne w Jaworze ;59-400;Jawor;Jawor;jaworski;DOLNOŚLĄSKIE;ul.;Klasztorna;6;;;;;;;;Gmina Jawor;;;;;Samorządowe;;
189;Muzeum Regionalne w Kluczkowicach;24-300;Kluczkowice;Opole Lubelskie;opolski;LUBELSKIE;ul.;Kluczkowice;7;;;;;;;;Powiat Opolski;;;;;Samorządowe;;
190;Muzeum Regionalne w Krasnymstawie;22-300;Krasnystaw;Krasnystaw;krasnostawski;LUBELSKIE;ul.;Marszałka Józefa Piłsudskiego;5A;;;;;;;;Powiat Krasnostawski;;;;;Samorządowe;;
191;Muzeum Regionalne w Kutnie;99-300;Kutno;Kutno;kutnowski;ŁÓDZKIE;pl.;Józefa Piłsudskiego;20;;;;;;;;Miasto Kutno;;;;;Samorządowe;;
192;Muzeum Regionalne w Lubaniu;59-800;Lubań;Lubań;lubański;DOLNOŚLĄSKIE;;Rynek - Ratusz ;;;;;;;;;Gmina Miejska Lubań;;;;;Samorządowe;;
193;Muzeum Regionalne w Łukowie;21-400;Łuków;Łuków;łukowski;LUBELSKIE;ul.;Piłsudskiego;19;;;;;;;;Powiat Łukowski;;;;;Samorządowe;;
194;Muzeum Regionalne w Opocznie;26-300;Opoczno;Opoczno;opoczyński;ŁÓDZKIE;pl.;Zamkowy;1;;;;;;;;Gmina Opoczno;;;;;Samorządowe;;
195;Muzeum Regionalne w Pińczowie;28-400;Pińczów;Gacki;pińczowski;ŚWIĘTOKRZYSKIE;ul.;Piłsudskiego;2a;;;;;;;;Gmina Pińczów;;;;;Samorządowe;;
196;Muzeum Regionalne w Pleszewie;63-300;Pleszew;Kowalew;pleszewski;WIELKOPOLSKIE;ul.;Poznańska;34;;;;;;;;Miasto i Gmina Pleszew;;;;;Samorządowe;;
197;Muzeum Regionalne w Pułtusku;06-100;Pułtusk;Pułtusk;pułtuski;MAZOWIECKIE;ul.;Rynek;1;;;;;;;;Gmina Pułtusk;;;;;Samorządowe;;
198;Muzeum Regionalne w Siedlcach;08-110;Siedlce;Siedlce;m. Siedlce;MAZOWIECKIE;ul.;Piłsudskiego;1;;;;;;;;Województwo Mazowieckie;;;;;Samorządowe;;
199;Muzeum Regionalne w Skawinie;32-050;Skawina;Radziszów;krakowski;MAŁOPOLSKIE;ul.;Adama Mickiewicza;26;;;;;;;;Miasto i Gmina Skawina;;;;;Samorządowe;;
200;Muzeum Regionalne w Słupcy;62-400;Słupca;Słupca;słupecki;WIELKOPOLSKIE;ul.;Warszawska;53;;;;;;;;Gmina Miejska Słupca;;;;;Samorządowe;;
201;Muzeum Regionalne w Stalowej Woli;37-464;Stalowa Wola;Stalowa Wola;stalowowolski;PODKARPACKIE;ul.;Sandomierska;1;;;;;;;;Gmina Stalowa Wola;;;;2005-09-21;Samorządowe;;
202;Muzeum Regionalne w Stęszewie;62-060;Stęszew;Strykowo;poznański;WIELKOPOLSKIE;ul.;Rynek;8;;;;;;;;Gmina Stęszew;;;;;Samorządowe;;
203;Muzeum Regionalne w Szczecinku;78-400;Szczecinek;Żółtnica;szczecinecki;ZACHODNIOPOMORSKIE;ul.;Szkolna;1;;;;;;;;Miasto Szczecinek ;;;;;Samorządowe;;
204;Muzeum Regionalne w Środzie Śląskiej;55-300;Środa Śląska;Kostomłoty;średzki;DOLNOŚLĄSKIE;pl.;Wolności;3;;;;;;;;Powiat Średzki;;;;;Samorządowe;;
205;Muzeum Regionalne w Świebodzinie;66-200;Świebodzin;Świebodzin;świebodziński;LUBUSKIE;Plac;Jana Pawła II;1;;;;;;;;Gmina Świebodzin;;;;;Samorządowe;;
206;Muzeum Regionalne w Trzebnicy;55-100;Trzebnica;Pawłów Trzebnicki;trzebnicki;DOLNOŚLĄSKIE;ul.;Rynek;8;;;;;;;;Gmina Trzebnica;;;;;Samorządowe;2021-04-23 sprawa DDK-WM.6020.5.2021;
207;Muzeum Regionalne w Zwoleniu;26-700;Zwoleń;Zwoleń;zwoleński;MAZOWIECKIE;Aleja;Jana Pawła II;2;;;;;;;;Gmina Zwoleń;;;;;Samorządowe;;
208;Muzeum Regionalne Ziemi Limanowskiej ;34-600;Limanowa;Limanowa;limanowski;MAŁOPOLSKIE;ul.;Józefa Marka;13;;;;;;;;Gmina Miasto Limanowa;;;;;Samorządowe;;
209;Muzeum Regionalne Ziemi Sulmierzyckiej im. Sebastiana Fabiana Klonowicza;63-750;Sulmierzyce;Chwaliszew;krotoszyński;WIELKOPOLSKIE;ul.;Rynek;1;;;;;;;;Miasto Sulmierzyce;;;;;Samorządowe;;
210;Muzeum Rolnictwa im. ks. Krzysztofa Klukaw Ciechanowcu;18-230;Ciechanowiec;Ciechanowiec;wysokomazowiecki;PODLASKIE;ul.;Pałacowa;5;;;;;;;;Województwo Podlaskie;;;;1998-12-28;Samorządowe;;
211;Muzeum Romantyzmu w Opinogórze;06-406;Opinogóra;Opinogóra Górna;ciechanowski;MAZOWIECKIE;ul.;Zygmunta Krasińskiego;9;;;;;;;;Samorząd Województwa Mazowieckiego;;;;2015-04-01;Samorządowe;;
212;Muzeum Rybołówstwa Morskiego w Niechorzu;72-350;Niechorze;Rewal;gryficki;ZACHODNIOPOMORSKIE;al.;Bursztynowa;28;;;;;;;;Gmina Rewal;;;;;Samorządowe;;
213;Muzeum Rzemiosła w Krośnie;38-400;Krosno;Krosno;m. Krosno;PODKARPACKIE;ul.;Piłsudskiego;19;;;;;;;;Gmina Krosno;;;;;Samorządowe;;
214;Muzeum Samorządowe Ziemi Strzyżowskiej im. Zygmunta Leśniaka w Strzyżowie;38-100;Strzyżów;Strzyżów;strzyżowski;PODKARPACKIE;ul.;I. Łukasiewicza;10;;;;;;;;Gmina Strzyżów;;;;;Samorządowe;;
215;Muzeum Saturn w Czeladzi;41-250;Czeladź;Czeladź;będziński;ŚLĄSKIE;ul.;Dehnelów;10;;;;;;;;Gmina Miejska Czeladź;;;;;Samorządowe;;
216;Muzeum Solca im. Księcia Przemysła w Solcu Kujawskim;86-050;Solec Kujawski;Solec Kujawski;bydgoski;KUJAWSKO-POMORSKIE;ul.;Toruńska;8;;;;;;;;Miasto i Gmina Solec Kujawski;;;;;Samorządowe;;
217;Muzeum Sopotu;81-724;Sopot;Sopot;m. Sopot;POMORSKIE;ul.;Poniatowskiego;8;;;;;;;;Gmina Miasta Sopotu;;;;;Samorządowe;;
218;Muzeum Sportu i Turystyki w Karpaczu;58-540;Karpacz;Karpacz;jeleniogórski;DOLNOŚLĄSKIE;ul.;Mikołaja Kopernika;2;;;;;;;;Województwo Dolnośląskie;;;;;Samorządowe;;
219;Muzeum Sportu i Turystyki w Warszawie;01-531;Warszawa;Warszawa (Żoliborz);m. st. Warszawa;MAZOWIECKIE;ul.;Wybrzeże Gdyńskie;4;;;;;;;;Województwo Mazowieckie;;;;1998-12-28;Samorządowe;;
220;Muzeum Sprzętu Gospodarstwa Domowego w Ziębicach;57-220;Ziębice;Ziębice;ząbkowicki;DOLNOŚLĄSKIE;ul.;Rynek;44;;;;;;;;Gmina Ziębice;;;;;Samorządowe;;
221;Muzeum Starożytnego Hutnictwa Mazowieckiego im. Stefana Woydy w Pruszkowie;05-800;Pruszków;Pruszków;pruszkowski;MAZOWIECKIE;pl.;Jana Pawła II;2;;;;;;;;Miasto Pruszków;;;;;Samorządowe;;
222;Muzeum Stanisława Staszica w Pile;64-920;Piła;Piła;pilski;WIELKOPOLSKIE;ul.;Browarna;18;;;;;;;;Gmina Piła;;;;;Samorządowe;;
223;Muzeum Szlachty Mazowieckiej w Ciechanowie;06-400;Ciechanów;Ciechanów;ciechanowski;MAZOWIECKIE;ul.;Warszawska;61;;;;;;;;Województwo Mazowieckie;;;;1998-12-28;Samorządowe;;
224;Muzeum Sztuki Współczesnej w Krakowie MOCAK;30-702;Kraków;Kraków (Kraków-Podgórze);m. Kraków;MAŁOPOLSKIE;ul.;Lipowa;4;;;;;;;;Gmina Miejska Kraków;;;;;Samorządowe;;
225;Muzeum Śląska Cieszyńskiego w Cieszynie;43-400;Cieszyn;Cieszyn;cieszyński;ŚLĄSKIE;ul.;Tadeusza Regera;6;;;;;;;;Powiat Cieszyński;;;;;Samorządowe;;
226;Muzeum Śląska Opolskiego w Opolu;45-023;Opole;Opole;m. Opole;OPOLSKIE;ul.;św. Wojciecha;13;;;;;;;;Województwo Opolskie;;;;1998-12-28;Samorządowe;;
227;Muzeum Ślężańskie im. Stanisława Dunajewskiego w Sobótce;55-050;Sobótka;Sobótka;wrocławski;DOLNOŚLĄSKIE;ul.;św. Jakuba;18;;;;;;;;Gmina Sobótka;;;;;Samorządowe;;
228;Muzeum Ślusarstwa im. Marcina Mikuły w Świątnikach Górnych;32-040;Świątniki Górne;Świątniki Górne;krakowski;MAŁOPOLSKIE;ul.;Kazimierza Bruchnalskiego;35;;;;;;;;Miasto i Gmina Świątniki Górne;;;;;Samorządowe;;
229;Muzeum Śremskie w Śremie;63-100;Śrem;Manieczki;śremski;WIELKOPOLSKIE;ul.;Adama Mickiewicza;89;;;;;;;;Miasto i Gmina Śrem;;;;;Samorządowe;;
230;Muzeum Technik Ceramicznych w Kole;62-600;Koło;Koło;kolski;WIELKOPOLSKIE;ul.;M. Kajki;44;;;;;;;;Gmina Miejska Koło;;;;;Samorządowe;;
231;Muzeum Techniki i Komunikacji - Zajezdnia Sztuki w Szczecinie;71-441;Szczecin;Szczecin;m. Szczecin;ZACHODNIOPOMORSKIE;ul.;Niemierzyńska;18A;;;;;;;;Gmina Miasto Szczecin;;;;;Samorządowe;;
232;Muzeum Tkactwa w Kamiennej Górze;58-400;Kamienna Góra;Kamienna Góra;kamiennogórski;DOLNOŚLĄSKIE;Plac;Wolności;11;;;;;;;;Gmina Miejska Kamienna Góra;;;;;Samorządowe;;
233;Muzeum Tradycji Niepodległościowych w Łodzi;90-706;Łódź;Łódź (Łódź-Polesie);m. Łódź;ŁÓDZKIE;ul.;Gdańska;13;;;;;;;;Miasto Łódź;;;;;Samorządowe;;
234;Muzeum Twierdzy Kostrzyn nad Odrą;66-470;Kostrzyn nad Odrą;Kostrzyn nad Odrą;gorzowski;LUBUSKIE;ul.;Graniczna;1;;;;;;;;Miasto Kostrzyn nad Odrą;;;;;Samorządowe;;
235;Muzeum Ustrońskie im. Jana Jarockiego w Ustroniu;43-450;Ustroń;Ustroń;cieszyński;ŚLĄSKIE;ul.;Hutnicza;3;;;;;;;;Miasto Ustroń;;;;;Samorządowe;;
